32695,WR,"['0.35', '1.75', '13.65', '3.60', '4.50', '1.80', '9.90', '18.40', '4.10', '19.05', '12.70', '6.80', '15.80', '4.50', '12.60', '13.50', '14.70']"
30199,RB,"['15.60', '6.80', '26.50', '16.60', '24.40', '10.30', '0.00', '0.00', '0.00', '0.00', '0.00', '2.00', '2.80', '0.00', '0.00', '0.00', '0.00']"
7200,QB,"['3.32', '27.80', '19.54', '25.12', '22.76', '23.70', '25.66', '15.66', '0.00', '12.48', '35.50', '28.28', '31.64', '24.82', '19.98', '21.32', '14.22']"
31898,WR,"['12.10', '16.00', '0.00', '20.70', '15.20', '15.10', '13.80', '9.20', '10.80', '20.60', '15.00', '27.50', '13.80', '7.30', '12.10', '13.10', '8.60']"
25785,QB,"['28.06', '25.32', '17.62', '22.56', '10.08', '0.00', '0.00', '0.00', '7.64', '8.48', '20.48', '18.74', '22.20', '5.24', '16.54', '28.84', '26.02']"
30209,WR,"['8.40', '5.30', '8.40', '16.60', '0.00', '0.00', '0.00', '0.00', '3.80', '1.70', '6.50', '5.20', '2.50', '6.80', '3.70', '0.00', '3.70']"
32719,WR,"['8.50', '9.20', '15.10', '0.00', '23.50', '2.70', '8.10', '5.80', '0.00', '12.90', '10.70', '6.40', '14.50', '1.90', '6.10', '3.20', '15.50']"
29369,QB,"['30.42', '9.48', '21.12', '27.02', '23.68', '29.80', '0.00', '20.88', '27.34', '4.64', '27.30', '13.22', '11.94', '10.58', '33.30', '24.04', '32.80']"
31902,RB,"['16.20', '16.70', '0.00', '15.10', '17.40', '24.70', '7.90', '22.80', '8.30', '6.10', '16.30', '0.00', '0.00', '3.70', '1.70', '0.00', '0.00']"
26534,K,"['11.00', '7.00', '17.00', '13.00', '3.00', '12.00', '6.00', '10.00', '5.00', '11.00', '13.00', '7.00', '15.00', '6.00', '3.00', '15.00', '8.00']"
31010,WR,"['1.90', '22.40', '6.20', '6.20', '23.50', '20.40', '10.30', '5.00', '3.40', '3.90', '2.70', '2.50', '1.40', '2.20', '5.30', '7.50', '2.44']"
32703,WR,"['13.80', '13.00', '0.00', '0.00', '7.70', '5.90', '9.70', '12.70', '11.80', '2.50', '22.40', '26.30', '15.90', '3.30', '39.40', '7.70', '0.00']"
33413,RB,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
32066,RB,"['10.10', '6.60', '9.90', '0.30', '27.90', '2.40', '18.15', '7.00', '12.70', '5.00', '18.10', '18.20', '5.90', '6.40', '2.10', '2.30', '2.50']"
31031,WR,"['17.10', '2.40', '12.40', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
32685,WR,"['11.20', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '5.90', '10.90', '8.10', '3.50', '10.70', '7.20', '0.00', '7.50', '0.00', '4.00']"
30175,WR,"['7.20', '13.40', '4.00', '2.10', '0.60', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
28514,RB,"['8.70', '9.80', '10.00', '9.60', '12.10', '1.00', '9.10', '2.30', '1.80', '3.60', '5.60', '14.90', '11.10', '2.10', '4.00', '12.20', '0.30']"
29255,WR,"['0.00', '0.00', '5.50', '1.10', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
31104,RB,"['13.60', '10.00', '11.00', '17.90', '2.90', '6.50', '10.50', '14.40', '0.30', '0.00', '0.00', '0.00', '0.00', '6.30', '24.70', '11.70', '0.00']"
28654,RB,"['2.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
27548,WR,"['17.70', '19.30', '18.20', '7.20', '3.80', '14.40', '4.60', '18.30', '8.60', '2.80', '12.00', '6.90', '15.10', '26.70', '0.00', '17.10', '4.10']"
29288,WR,"['4.70', '11.80', '11.60', '18.30', '4.40', '1.20', '5.90', '18.24', '1.60', '9.30', '2.30', '12.00', '8.35', '19.10', '17.00', '11.60', '0.00']"
31868,WR,"['29.40', '14.10', '7.70', '34.45', '14.60', '21.50', '22.10', '8.80', '28.80', '16.90', '21.30', '0.00', '12.40', '16.90', '25.60', '15.70', '27.96']"
31919,RB,"['12.70', '13.90', '2.10', '3.60', '10.80', '19.30', '26.30', '15.00', '9.80', '0.00', '8.00', '11.70', '19.10', '0.00', '30.30', '17.20', '15.30']"
33423,RB,"['4.60', '8.90', '11.70', '7.40', '11.10', '9.30', '14.20', '5.80', '13.10', '5.90', '19.60', '29.80', '21.80', '11.10', '9.00', '3.70', '7.40']"
30120,WR,"['19.20', '19.60', '31.70', '1.60', '34.50', '3.70', '2.90', '6.80', '5.30', '19.20', '5.90', '15.50', '9.10', '6.40', '0.00', '13.80', '24.40']"
33476,RB,"['0.00', '0.80', '10.40', '9.90', '0.70', '0.00', '0.00', '0.00', '0.00', '6.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
31008,RB,"['-0.60', '4.10', '1.10', '8.50', '4.10', '3.40', '5.30', '2.40', '0.00', '9.30', '9.70', '0.70', '0.80', '9.10', '16.10', '3.20', '0.00']"
29281,WR,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
31019,TE,"['12.20', '3.40', '8.60', '14.10', '3.80', '0.00', '11.50', '11.20', '5.80', '3.80', '8.70', '0.50', '26.50', '19.00', '3.80', '11.10', '0.00']"
31852,TE,"['9.20', '11.30', '2.50', '13.60', '3.50', '21.20', '6.40', '1.80', '0.00', '8.40', '2.70', '5.30', '7.10', '8.20', '4.50', '19.20', '2.10']"
29344,TE,"['10.30', '1.30', '12.50', '5.60', '8.40', '6.10', '7.10', '4.00', '7.60', '9.50', '0.80', '7.30', '0.00', '0.00', '6.60', '10.90', '20.50']"
33138,RB,"['6.90', '7.90', '23.40', '21.10', '23.20', '18.60', '4.40', '0.00', '17.40', '10.80', '12.00', '2.00', '0.40', '17.30', '1.00', '0.00', '0.00']"
24017,TE,"['26.00', '17.90', '7.50', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '11.10', '17.80', '19.80', '8.70', '3.90', '2.80', '17.00', '19.20']"
32676,QB,"['16.38', '18.72', '31.84', '21.28', '44.82', '12.00', '15.82', '33.64', '13.00', '38.28', '23.72', '28.28', '25.90', '25.04', '20.94', '18.68', '30.42']"
30218,RB,"['6.30', '2.60', '17.80', '20.60', '10.20', '8.60', '13.40', '14.20', '39.80', '13.90', '19.40', '19.10', '30.00', '8.00', '0.00', '0.00', '25.30']"
28403,RB,"['21.30', '7.90', '15.60', '8.70', '5.30', '9.80', '10.20', '17.70', '17.50', '8.80', '10.30', '0.00', '25.10', '7.60', '0.50', '8.70', '18.10']"
27591,WR,"['17.90', '1.40', '0.00', '0.00', '0.00', '0.00', '6.20', '8.50', '2.60', '4.60', '12.20', '14.10', '12.60', '0.00', '7.50', '6.90', '17.50']"
24171,WR,"['23.20', '2.20', '0.00', '9.80', '29.90', '20.80', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '16.10', '4.10', '0.00']"
5228,QB,"['31.16', '30.64', '30.68', '12.06', '39.74', '19.98', '24.44', '29.20', '15.00', '22.28', '13.24', '31.62', '32.12', '5.76', '15.38', '29.40', '27.04']"
32671,QB,"['19.64', '13.28', '18.58', '24.32', '21.34', '24.84', '29.64', '22.26', '10.38', '9.02', '17.40', '20.60', '24.22', '12.78', '42.60', '36.84', '0.00']"
31424,RB,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']"
